002030,达安基因,生物制品,深股通;中证500;新三板;深证100;深成500;抗病毒;融资融券;民营医院;国资委整合;转融券;特种药;汇金持股;员工持股;精准医疗;高校概念;食品安全;股权激励;医药生物;医药、生物制品;广东;制药与生物科技;
002362,汉王科技,软件及系统,智能制造;人脑工程;汇金持股;智能穿戴;新媒体;生物识别;计算机;电子;北京;耐用消费品与服装;
002106,莱宝高科,电子元器件,深股通;深成500;智能穿戴;融资融券;新材料;基金增仓;中证500;智能手机;QFII持股;转融券;电子;电子;广东;技术硬件与设备;
002077,大港股份,房地产,太阳能;中价;节能环保;锂电池;新三板;地方国资整合;房地产;房地产业;江苏;房地产;
000004,ST国农,生物制品,银河系;北大系;壳资源;预盈预增;港股通;举牌;港股通(深);医药生物;医药、生物制品;广东;制药与生物科技;
002266,浙富股份,电气设备,股权投资;中证500;一带一路;深股通;低价;深成500;大订单;转融券;融资融券;汇金持股;循环经济;金融改革;节能环保;电子商务;核电核能;电气设备;机械、设备、仪表;浙江;资本货物;
300037,新宙邦,化工,QFII持股;深股通;超级电容;汇金持股;深成500;中盘;基金增仓;新能源汽车;锂电池;化工;石油、化学、塑胶、塑料;广东;原材料;
002126,银轮股份,汽车配件,中盘;量子通信;节能环保;PM2.5;券商重仓;深股通;新三板;金融改革;汽车;机械、设备、仪表;浙江;汽车与汽车零部件;
002129,中环股份,复合材料,融资融券;新材料;重组并购;转融券;深证100;汇金持股;深成500;沪深300;天津国资整合;太阳能;券商重仓;蓝宝石;股权激励;深股通;新三板;电子;电子;天津;半导体与半导体生产设备;
002446,盛路通信,通信设备,深股通;智能汽车;北斗导航;汇金持股;4G5G;移动软件;航天军工;地理信息;三网融合;通信;信息技术业;广东;技术硬件与设备;
300072,三聚环保,化工,深成500;大盘;PPP概念;王亚伟概念;节能环保;高价;深股通;PM2.5;深证100;预盈预增;沪深300;转融券;美丽中国;汇金持股;融资融券;化工;石油、化学、塑胶、塑料;北京;原材料;
002374,丽鹏股份,园林工程,美丽中国;PPP概念;大订单;新媒体;轻工制造;金属、非金属;山东;原材料;
300064,豫金刚石,复合材料,新材料;深股通;机械设备;金属、非金属;河南;原材料;
002497,雅化集团,化工,深股通;汇金持股;成渝特区;中盘;锂电池;航天军工;化工;石油、化学、塑胶、塑料;四川;原材料;
002117,东港股份,包装印刷,明星基金;博彩概念;电子支付;转融券;汇金持股;深股通;金融IC卡;融资融券;电子商务;轻工制造;造纸、印刷;山东;商业和专业服务;
002381,双箭股份,塑胶制品,养老概念;化工;石油、化学、塑胶、塑料;浙江;汽车与汽车零部件;
002341,新纶科技,化工,锂电池;深股通;智能穿戴;新材料;股权激励;石墨烯;券商重仓;员工持股;公用事业;石油、化学、塑胶、塑料;广东;原材料;
002474,榕基软件,软件及系统,中盘;国家安全;智慧城市;物联网;深股通;转融券;去IOE概念;融资融券;深成500;员工持股;虚拟现实;计算机;信息技术业;福建;软件与服务;
002043,兔宝宝,木材家具,操盘手80;节能环保;电子商务;明星基金;股权激励;深成500;基金增仓;美丽中国;深股通;建筑材料;木材、家具;浙江;原材料;
002536,西泵股份,汽车配件,汇金持股;汽车;机械、设备、仪表;河南;汽车与汽车零部件;
300153,科泰电源,电气设备,新能源汽车;储能概念;汇金持股;深股通;核电核能;中价;充电桩;基金增仓;电气设备;机械、设备、仪表;上海;资本货物;
002090,金智科技,电气设备,能源互联网;新三板;风能;社保重仓;大订单;智慧城市;深股通;智能电网;参股金融;电气设备;机械、设备、仪表;江苏;资本货物;
002552,宝鼎重工,船舶制造,航天军工;金融改革;新材料;机械设备;机械、设备、仪表;浙江;资本货物;
002499,科林环保,环境保护,PM2.5;美丽中国;股权转让;节能环保;大订单;太阳能;机械设备;机械、设备、仪表;江苏;资本货物;
002437,誉衡药业,医药制造,深股通;转融券;新三板;特种药;融资融券;中证500;深成500;振兴东北;汇金持股;电子商务;医药生物;医药、生物制品;黑龙江;制药与生物科技;
300163,先锋新材,建材,电子商务;新材料;节能环保;化工;其他制造业;浙江;原材料;
002260,伊立浦,家电,无人机;股权转让;深股通;明星基金;员工持股;重组并购;中盘;通用航空;家用电器;机械、设备、仪表;广东;耐用消费品与服装;
300114,中航电测,电子元器件,国资委整合;航天军工;智能汽车;汇金持股;大飞机;机械设备;电子;陕西;技术硬件与设备;
