300174,0.31
002035,1.73
002093,0.40
002351,17.26
300028,3.91
002205,3.22
002286,1.54
300015,0.74
002314,0.91
000040,0.00
002037,0.62
300061,1.70
002038,0.38
002166,2.30
300168,0.83
002488,4.47
300113,1.01
002169,1.86
000016,0.60
002290,0.93
000017,7.46
002162,0.00
002468,1.29
002363,1.93
000031,0.70
300125,1.07
002036,1.33
300147,1.15
002234,2.89
002498,0.42
002261,0.47
300030,1.16
300139,1.22
002550,0.61
002103,3.79
002030,0.69
002362,5.77
002106,5.09
002077,0.44
000004,0.00
002266,1.67
300037,2.66
002126,3.27
002129,0.00
002446,0.74
300072,1.25
002374,1.66
300064,0.57
002497,8.58
002117,0.71
002381,9.18
002341,2.94
002474,1.84
002043,2.08
002536,1.16
300153,1.33
002090,0.63
002552,2.10
002499,3.71
002437,0.52
300163,1.31
002260,0.00
300114,0.52
002185,1.47
002247,0.92
300121,1.15
300162,1.22
002057,1.42
002454,0.52
002078,1.39
300035,1.69
002163,2.88
002541,1.40
002396,1.72
300023,1.41
300173,0.56
300021,4.56
002048,1.34
002243,0.70
300073,3.12
002060,4.15
002357,0.72
300080,0.90
300109,0.00
002413,3.38
300057,0.00
002326,0.67
300019,2.26
002003,0.81
002091,0.90
300103,6.96
002328,1.27
002485,0.91
002226,3.14
002270,0.00
000036,0.60
000153,0.00
002479,2.27
002101,0.71
002170,0.48
002055,0.88
002425,3.10
300108,0.97
002058,0.68
002291,0.83
002358,1.48
000039,0.79
002476,1.16
002277,3.37
001696,0.91
002004,0.63
300011,15.83
002327,1.69
002022,0.77
300137,1.49
002353,2.09
300177,1.57
300152,2.44
002397,1.56
002555,1.55
000022,1.51
300122,0.39
300106,2.31
002045,4.13
002108,13.84
002024,0.41
002401,1.31
002298,1.26
002553,0.00
300004,1.68
002056,3.49
000029,0.00
002287,0.43
300187,2.13
002333,0.92
000158,3.19
002495,1.00
002548,0.68
002182,2.38
300094,0.85
002322,3.41
002284,1.38
002366,1.76
002456,1.21
300042,2.38
002020,1.26
000402,1.11
002141,1.26
002124,1.38
002469,1.51
002492,3.68
002510,9.52
300014,4.56
002034,0.85
002313,1.38
002271,2.91
300003,1.15
002096,0.66
002335,0.74
002451,1.45
300071,1.30
002470,0.56
002087,0.84
002540,1.04
300058,0.48
002204,3.51
300065,0.00
002332,2.13
300165,6.82
002528,1.55
300116,2.62
002532,1.25
002195,2.36
002491,0.33
002100,1.11
300088,0.00
002293,0.18
002095,0.51
002309,0.60
300144,0.94
300104,2.02
002255,0.00
002063,1.16
001896,3.03
002181,0.57
002292,1.35
002128,0.00
300160,0.94
002409,0.76
002377,1.92
002480,1.86
002010,1.17
002080,5.75
000037,1.95
002324,0.49
300047,1.92
002530,0.47
300038,1.26
300008,9.40
002009,1.07
000012,1.09
002443,0.00
002475,0.22
002252,0.15
002431,28.30
002390,1.75
002460,6.96
002337,0.82
002306,2.32
300159,1.68
002489,2.74
300172,10.78
000033,0.00
002146,7.12
002149,0.67
002189,1.53
002296,3.17
300161,1.22
000021,0.57
002253,8.45
002236,1.14
300070,5.30
000028,0.32
