000040,东旭蓝天,房地产,广东自贸区;太阳能;定向增发;房地产;房地产业;广东;公用事业;再融资;中价;基金新增;
000042,中洲控股,房地产,深建设系;广东自贸区;深股通;重组并购;员工持股;房地产;房地产业;广东;房地产;迪士尼;金融改革;基金新增;
000043,中航地产,房地产,中航系;广东自贸区;融资融券;国资委整合;转融券;房地产;房地产业;广东;房地产;
000045,深纺织Ａ,电子元器件,深投系;中盘;基金增仓;电子;批发和零售贸易;广东;技术硬件与设备;汇金持股;基金新增;广东国资整合;
000046,泛海控股,房地产,深成500;广东自贸区;深证100;IPO受益;深股通;参股金融;融资融券;证金持股;电子商务;大盘;转融券;房地产;房地产业;北京;房地产;券商重仓;
000048,康达尔,饲料加工,广东自贸区;土地流转;电子商务;基金增仓;农林牧渔;食品、饮料;广东;食品、饮料与烟草;金融改革;基金新增;举牌;
000049,德赛电池,轻工产品,地方国资整合;锂电池;深股通;中证500;新能源汽车;融资融券;恒大概念;深成500;央视50;转融券;基金增仓;智能手机;汇金持股;电子;机械、设备、仪表;广东;技术硬件与设备;高价;
000050,深天马Ａ,电子元器件,中航系;3D影视;转融券;新材料;智能手机;TMT概念;深股通;重组并购;深成500;中证500;融资融券;电子;电子;广东;技术硬件与设备;智能穿戴;航天军工;国资委整合;虚拟现实;
000055,方大集团,工程建筑,北京证券系;大订单;节能环保;新材料;太阳能;深股通;建筑装饰;金属、非金属;广东;资本货物;中盘;LED;高铁;
000056,皇庭国际,房地产,深特发系;基金新增;参股金融;员工持股;房地产;房地产业;广东;房地产;国际板;
000058,深 赛 格,零售业,赛格系;电子商务;智慧城市;基金增仓;北斗导航;新材料;预盈预增;股权投资;智能汽车;金融改革;深股通;注资承诺;广东自贸区;电子竞技;商业贸易;批发和零售贸易;广东;房地产;广东国资整合;参股新三板;证金持股;
000059,华锦股份,石油石化,油改概念;振兴东北;深股通;深成500;化工;石油、化学、塑胶、塑料;辽宁;能源;航天军工;国资委整合;王亚伟概念;
000060,中金岭南,有色金属,参股金融;汇金持股;融资融券;循环经济;深成500;新材料;深证100;广东国资整合;证金持股;小金属;有色金属;金属、非金属;广东;原材料;沪深300;深股通;转融券;
000061,农 产 品,零售业,深商投系;汇金持股;金融改革;融资融券;深成500;广东自贸区;财政扶持;生猪概念;广东国资整合;基金新增;举牌;股权投资;商业贸易;批发和零售贸易;广东;商业和专业服务;沪深300;电子商务;深股通;转融券;
000062,深圳华强,电子元器件,证金持股;股权转让;汇金持股;金融改革;融资融券;深成500;广东自贸区;粤港澳大湾区;智能穿戴;中证500;参股新三板;商业贸易;批发和零售贸易;广东;商业和专业服务;电子商务;双创概念;深股通;转融券;
000063,中兴通讯,通信设备,去IOE概念;航天科工系;汇金持股;中证100;新能源汽车;融资融券;量子通信;4G5G;深成500;虚拟现实;智慧城市;深证100;基金增仓;IPV6;智能穿戴;宽带中国;TMT概念;数字电视;物联网;一带一路;证金持股;股权激励;三网融合;云计算;股权投资;沪深300;参股新三板;通信;信息技术业;广东;技术硬件与设备;移动软件;操盘手80;大盘;深股通;转融券;AH股;H股;
000065,北方国际,工程建筑,兵器系;航天军工;高铁;基金增仓;重组并购;注资承诺;风能;一带一路;大订单;明星基金;建筑装饰;建筑业;北京;资本货物;深股通;
000066,中国长城,IT设备,长城系;国资委整合;深成500;财政扶持;航天军工;TMT概念;中证500;三网融合;云计算;计算机;信息技术业;广东;技术硬件与设备;去IOE概念;深股通;
000068,华控赛格,电子元器件,赛格系;PPP概念;QFII持股;综合;电子;广东;商业和专业服务;海绵城市;预亏预减;深股通;
000069,华侨城Ａ,房地产,华侨城系;汇金持股;社保重仓;金融改革;融资融券;国资委整合;深成500;广东自贸区;深证100;IPV6;证金持股;举牌;股权投资;房地产;社会服务业;广东;消费者服务;沪深300;大盘;中证100;深股通;转融券;
000070,特发信息,通信设备,深特发系;高送转;宽带中国;广东国资整合;云计算;深股通;航天军工;通信;信息技术业;广东;技术硬件与设备;
000078,海王生物,医药流通,精准医疗;汇金持股;抗病毒;转融券;深股通;融资融券;医药生物;批发和零售贸易;广东;医疗保健设备与服务;深成500;中证500;特种药;
000088,盐 田 港,港口,深投系;转融券;汇金持股;广东自贸区;股权投资;深成500;深股通;一带一路;交通运输;交通运输、仓储业;广东;运输;粤港澳大湾区;广东国资整合;融资融券;
