193	7/30/13	3.27	3.31	3.18	3.26	3544300	3.26	2043	兔 宝 宝	SZ
193	7/30/13	5.98	6	5.81	5.95	1347600	5.95	2044	江苏三友	SZ
193	7/30/13	4.9	4.97	4.71	4.92	7357900	4.85	2045	广州国光	SZ
193	7/30/13	6.7	6.86	6.63	6.69	3644700	6.69	2046	轴研科技	SZ
193	7/30/13	3.97	4.01	3.91	3.97	2256700	3.97	2047	成霖股份	SZ
193	7/30/13	7.96	8.05	7.8	7.92	2961900	7.92	2048	宁波华翔	SZ
193	7/30/13	33.6	34.09	31.47	32.8	3197300	32.8	2049	晶源电子	SZ
193	7/30/13	13.6	13.8	12.81	13.13	4520000	13.13	2050	三花股份	SZ
193	7/30/13	27.17	27.39	26.6	26.7	998800	26.7	2051	中工国际	SZ
193	7/30/13	9.15	9.28	8.37	8.78	26059100	8.78	2052	同洲电子	SZ
193	7/30/13	6.35	6.52	6.35	6.44	478900	6.44	2053	云南盐化	SZ
193	7/30/13	5.98	6.09	5.91	5.99	1991900	5.99	2054	德美化工	SZ
193	7/30/13	13.29	14.1	12.81	13.64	35023700	13.64	2055	得润电子	SZ
193	7/30/13	15.6	16.37	15.43	15.5	15672200	15.5	2056	横店东磁	SZ
193	7/30/13	12.99	13.45	12.99	13.26	2606000	13.26	2057	中钢天源	SZ
193	7/30/13	5.8	5.84	5.52	5.7	1192600	5.7	2058	威 尔 泰	SZ
193	7/30/13	8.22	8.5	8.11	8.11	2040600	8.11	2059	云南旅游	SZ
193	7/30/13	3.78	3.85	3.71	3.77	3871500	3.77	2060	粤 水 电	SZ
193	7/30/13	5.11	5.18	4.96	5.09	1448600	5.09	2061	江山化工	SZ
193	7/30/13	4.14	4.21	4.09	4.21	1498600	3	2062	宏润建设	SZ
193	7/30/13	16.8	16.88	16.1	16.78	11531000	16.78	2063	远光软件	SZ
193	7/30/13	8.68	8.9	8	8.76	22946600	8.65	2064	华峰氨纶	SZ
193	7/30/13	25.77	26.39	24.9	25.84	3713100	25.84	2065	东华软件	SZ
193	7/30/13	4.32	4.39	4.25	4.38	1673100	4.38	2066	瑞泰科技	SZ
193	7/30/13	1.99	2.01	1.97	2	6368500	2	2067	景兴纸业	SZ
193	7/30/13	3.95	3.99	3.89	3.94	2777500	3.94	2068	黑猫股份	SZ
